         564678 function calls (551003 primitive calls) in 1.105 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.005    0.002 response.py:1(<module>)
       63    0.001    0.000    0.005    0.000 typing.py:1074(_generic_class_getitem)
      406    0.002    0.000    0.005    0.000 enum.py:390(__setitem__)
     1829    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.005    0.005 tz.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        3    0.000    0.000    0.005    0.002 parser.py:41(parse)
        2    0.000    0.000    0.004    0.002 _strptime.py:275(__init__)
      229    0.001    0.000    0.004    0.000 overrides.py:86(verify_matching_signatures)
      805    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:670(_classify_pyc)
       28    0.001    0.000    0.004    0.000 _decorators.py:297(decorate)
        1    0.000    0.000    0.004    0.004 __init__.py:217(Version)
    10797    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     1829    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.004    0.004 _constants.py:1(<module>)
 1328/299    0.003    0.000    0.004    0.000 _parser.py:178(getwidth)
       16    0.000    0.000    0.004    0.000 _functools.py:75(wrapper)
        6    0.000    0.000    0.004    0.001 feedparser.py:171(feed)
        8    0.000    0.000    0.004    0.000 __init__.py:701(lookup)
        4    0.000    0.000    0.004    0.001 _common.py:1(<module>)
        8    0.000    0.000    0.004    0.000 __init__.py:707(__init__)
       29    0.000    0.000    0.004    0.000 _decorators.py:366(decorator)
        1    0.000    0.000    0.004    0.004 array_ops.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _hooks.py:1(<module>)
        1    0.000    0.000    0.004    0.004 cache_manager.py:1(<module>)
      805    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:703(_validate_timestamp_pyc)
        1    0.000    0.000    0.004    0.004 _polynomial_impl.py:1(<module>)
     2415    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        3    0.000    0.000    0.004    0.001 accessor.py:1(<module>)
        1    0.000    0.000    0.004    0.004 path.py:1(<module>)
        2    0.000    0.000    0.004    0.002 datetimelike.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _base.py:1485(ExcelFile)
        1    0.000    0.000    0.004    0.004 more.py:1(<module>)
        2    0.000    0.000    0.004    0.002 connection.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _npyio_impl.py:1(<module>)
        9    0.000    0.000    0.004    0.000 feedparser.py:176(_call_parse)
     6082    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.004    0.004 shape_base.py:1(<module>)
        9    0.001    0.000    0.004    0.000 feedparser.py:216(_parsegen)
      726    0.002    0.000    0.004    0.000 inspect.py:2743(__init__)
        1    0.000    0.000    0.004    0.004 expression.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pytester.py:1(<module>)
        3    0.000    0.000    0.004    0.001 ops.py:1(<module>)
        1    0.000    0.000    0.004    0.004 events.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _strptime.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 tasks.py:1(<module>)
        3    0.000    0.000    0.003    0.001 concat.py:1(<module>)
        2    0.000    0.000    0.003    0.002 models.py:1(<module>)
        1    0.000    0.000    0.003    0.003 timing.py:1(<module>)
       15    0.000    0.000    0.003    0.000 parser.py:14(make_regex)
      148    0.001    0.000    0.003    0.000 dataclasses.py:760(_get_field)
      284    0.002    0.000    0.003    0.000 enum.py:1561(__and__)
       31    0.000    0.000    0.003    0.000 typing.py:1589(copy_with)
    11000    0.003    0.000    0.003    0.000 _parser.py:240(__next)
        2    0.000    0.000    0.003    0.002 pytables.py:1(<module>)
       12    0.000    0.000    0.003    0.000 extension.py:129(wrapper)
    11005    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
     8714    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        1    0.000    0.000    0.003    0.003 apply.py:1(<module>)
     3220    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.003    0.003 unix_events.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numpy_.py:1(<module>)
        1    0.000    0.000    0.003    0.003 case.py:1(<module>)
        1    0.000    0.000    0.003    0.003 expr.py:1(<module>)
      937    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:445(cb)
        1    0.000    0.000    0.003    0.003 python_api.py:1(<module>)
      106    0.000    0.000    0.003    0.000 extension.py:35(_inherit_from_data)
        1    0.000    0.000    0.003    0.003 arrow_parser_wrapper.py:1(<module>)
       26    0.000    0.000    0.003    0.000 core.py:7037(_frommethod)
     1829    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.003    0.003 lexer.py:1(<module>)
      933    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      405    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
      415    0.001    0.000    0.003    0.000 dataclasses.py:701(_is_type)
