         1082225 function calls (1054557 primitive calls) in 1.667 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1018    0.001    0.000    0.001    0.000 feedparser.py:77(readline)
     2182    0.001    0.000    0.001    0.000 _generate_schema.py:246(filter_field_decorator_info_by_field)
        1    0.001    0.001    0.004    0.004 constant.py:1(<module>)
     1472    0.001    0.000    0.001    0.000 _fields.py:685(is_valid_privateattr_name)
       17    0.001    0.000    0.001    0.000 generic.py:37(create_pandas_abc_type)
       12    0.001    0.000    0.004    0.000 feedparser.py:216(_parsegen)
       57    0.001    0.000    0.009    0.000 _logging.py:48(__new__)
      133    0.001    0.000    0.002    0.000 typing.py:345(_remove_dups_flatten)
     3200    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1843    0.001    0.000    0.001    0.000 typing.py:1592(__eq__)
      660    0.001    0.000    0.001    0.000 functools.py:65(wraps)
     1643    0.001    0.000    0.001    0.000 _generate_schema.py:384(_config_wrapper)
      420    0.001    0.000    0.001    0.000 core_schema.py:2516(with_default_schema)
       52    0.001    0.000    0.003    0.000 typing.py:1074(_generic_class_getitem)
     2164    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      422    0.001    0.000    0.002    0.000 _generate_schema.py:2659(wrap_default)
     1212    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
     1462    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      349    0.001    0.000    0.017    0.000 function_base.py:474(_add_docstring)
      458    0.001    0.000    0.003    0.000 _inspect.py:97(getargspec)
     2469    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      146    0.001    0.000    0.001    0.000 _generate_schema.py:362(__init__)
      516    0.001    0.000    0.001    0.000 typing.py:2374(get_args)
     1643    0.001    0.000    0.001    0.000 _config.py:250(tail)
       12    0.001    0.000    0.005    0.000 __init__.py:707(__init__)
     1031    0.001    0.000    0.001    0.000 enum.py:1128(__new__)
      670    0.001    0.000    0.002    0.000 _compiler.py:403(_simple)
      817    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      126    0.001    0.000    0.013    0.000 _loader.py:22(get_plugins)
      107    0.001    0.000    0.008    0.000 _fields.py:483(_recreate_field_info)
      950    0.001    0.000    0.001    0.000 introspection.py:316(allowed_qualifiers)
      198    0.001    0.000    0.003    0.000 inspect.py:1845(getattr_static)
      824    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
      617    0.001    0.000    0.001    0.000 alias_generators.py:40(<lambda>)
      152    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
