         513935 function calls (501521 primitive calls) in 1.434 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   101/31    0.001    0.000    0.010    0.000 typing.py:1267(__getitem__)
     1831    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
      674    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
     1346    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.026    0.026 _typing.py:1(<module>)
       68    0.000    0.000    0.001    0.000 enum.py:1008(_find_data_type_)
       28    0.000    0.000    0.005    0.000 _decorators.py:297(decorate)
       99    0.000    0.000    0.001    0.000 typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.002    0.002 six.py:1(<module>)
        1    0.000    0.000    0.001    0.001 array.py:251(ArrowExtensionArray)
        1    0.000    0.000    0.003    0.003 _function_base_impl.py:1(<module>)
        6    0.000    0.000    0.027    0.004 utils.py:1(<module>)
     1418    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      931    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
        1    0.000    0.000    0.004    0.004 expr.py:1(<module>)
       53    0.000    0.000    0.001    0.000 accessor.py:131(_forbid_nonstring_types)
      806    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      134    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      597    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
      135    0.000    0.000    0.001    0.000 inspect.py:175(get_annotations)
        3    0.000    0.000    0.280    0.093 generic.py:1(<module>)
   101/31    0.000    0.000    0.006    0.000 typing.py:1299(_determine_new_args)
      621    0.000    0.000    0.001    0.000 feedparser.py:77(readline)
      908    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
   117/46    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      180    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.005    0.005 more.py:1(<module>)
      171    0.000    0.000    0.000    0.000 expr.py:261(_node_not_implemented)
        5    0.000    0.000    0.021    0.004 base.py:1(<module>)
     1059    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        7    0.000    0.000    0.001    0.000 {built-in method _io.open}
